ShipmentID,CarrierID,OriginWarehouseID,DestinationAddress,ShipDate,Status
"SHP-59","CAR-02","WH-N","Customer Address","2022-06-14","In Transit"
"SHP-60","CAR-03","WH-N","Customer Address","2024-04-01","In Transit"
"SHP-61","CAR-02","WH-A","Customer Address","2023-09-30","Processing"
"SHP-62","CAR-03","WH-A","Customer Address","2022-04-02","Delayed"
"SHP-63","CAR-01","WH-E","Customer Address","2022-06-13","Delayed"
"SHP-64","CAR-03","WH-N","Customer Address","2024-02-12","Delayed"
"SHP-65","CAR-03","WH-N","Customer Address","2023-08-29","In Transit"
"SHP-66","CAR-03","WH-A","Customer Address","2024-05-20","Delivered"
"SHP-67","CAR-04","WH-E","Customer Address","2023-04-25","Processing"
"SHP-68","CAR-03","WH-E","Customer Address","2023-06-13","Delayed"
"SHP-69","CAR-01","WH-A","Customer Address","2025-04-09","Delivered"
"SHP-70","CAR-02","WH-E","Customer Address","2022-07-07","Delayed"
"SHP-71","CAR-03","WH-N","Customer Address","2022-10-29","In Transit"
"SHP-72","CAR-02","WH-A","Customer Address","2022-05-25","Processing"
"SHP-73","CAR-03","WH-A","Customer Address","2023-02-08","In Transit"
"SHP-74","CAR-03","WH-E","Customer Address","2023-03-30","In Transit"
"SHP-75","CAR-03","WH-A","Customer Address","2022-05-26","Delayed"
"SHP-76","CAR-04","WH-E","Customer Address","2024-05-20","In Transit"
"SHP-77","CAR-01","WH-A","Customer Address","2022-01-11","In Transit"
"SHP-78","CAR-01","WH-A","Customer Address","2025-11-17","Delivered"
"SHP-79","CAR-03","WH-A","Customer Address","2023-10-10","Delayed"
"SHP-80","CAR-02","WH-A","Customer Address","2023-12-30","Delivered"
"SHP-81","CAR-04","WH-E","Customer Address","2023-05-20","Delayed"
"SHP-82","CAR-02","WH-A","Customer Address","2022-12-28","Processing"
"SHP-83","CAR-03","WH-A","Customer Address","2022-11-19","In Transit"
"SHP-84","CAR-04","WH-A","Customer Address","2025-01-23","Delivered"
"SHP-85","CAR-04","WH-E","Customer Address","2022-08-17","Delivered"
"SHP-86","CAR-04","WH-N","Customer Address","2025-09-19","Delayed"
"SHP-87","CAR-02","WH-N","Customer Address","2024-12-09","Delivered"
"SHP-88","CAR-01","WH-N","Customer Address","2022-12-29","In Transit"
"SHP-89","CAR-01","WH-A","Customer Address","2022-02-21","Delivered"
"SHP-90","CAR-01","WH-A","Customer Address","2023-03-06","In Transit"
"SHP-91","CAR-01","WH-N","Customer Address","2022-11-16","Processing"
"SHP-92","CAR-03","WH-N","Customer Address","2025-10-28","In Transit"
"SHP-93","CAR-04","WH-N","Customer Address","2024-05-24","In Transit"
"SHP-94","CAR-04","WH-N","Customer Address","2025-09-21","Processing"
"SHP-95","CAR-04","WH-A","Customer Address","2023-12-18","In Transit"
"SHP-96","CAR-04","WH-E","Customer Address","2025-11-14","Delayed"
"SHP-97","CAR-04","WH-E","Customer Address","2024-03-25","Delivered"
"SHP-98","CAR-03","WH-A","Customer Address","2025-10-12","Processing"
"SHP-99","CAR-01","WH-E","Customer Address","2025-08-22","In Transit"
"SHP-100","CAR-04","WH-A","Customer Address","2025-09-25","In Transit"
"SHP-101","CAR-03","WH-E","Customer Address","2024-02-27","Delivered"
"SHP-102","CAR-04","WH-E","Customer Address","2023-06-13","Processing"
"SHP-103","CAR-04","WH-N","Customer Address","2026-01-24","Processing"
"SHP-104","CAR-02","WH-N","Customer Address","2023-03-16","In Transit"
"SHP-105","CAR-02","WH-A","Customer Address","2022-08-09","In Transit"
"SHP-106","CAR-02","WH-N","Customer Address","2022-06-22","Processing"
"SHP-107","CAR-04","WH-N","Customer Address","2024-06-01","Delayed"
"SHP-108","CAR-02","WH-N","Customer Address","2024-09-09","In Transit"
"SHP-109","CAR-01","WH-E","Customer Address","2022-05-27","Processing"
"SHP-110","CAR-01","WH-E","Customer Address","2023-09-20","Delivered"
"SHP-111","CAR-03","WH-E","Customer Address","2023-09-22","Delivered"
"SHP-112","CAR-02","WH-N","Customer Address","2024-06-14","Processing"
"SHP-113","CAR-04","WH-E","Customer Address","2023-06-01","Delivered"
"SHP-114","CAR-03","WH-A","Customer Address","2024-03-09","Delayed"
"SHP-115","CAR-01","WH-N","Customer Address","2022-07-17","Processing"
"SHP-116","CAR-02","WH-N","Customer Address","2024-09-08","In Transit"
"SHP-117","CAR-02","WH-A","Customer Address","2024-09-22","Processing"
"SHP-118","CAR-02","WH-N","Customer Address","2025-05-27","Processing"
"SHP-119","CAR-01","WH-E","Customer Address","2024-08-21","Processing"
"SHP-120","CAR-02","WH-E","Customer Address","2024-09-09","Delayed"
"SHP-121","CAR-01","WH-N","Customer Address","2022-12-05","Delayed"
"SHP-122","CAR-04","WH-N","Customer Address","2022-09-18","In Transit"
"SHP-123","CAR-02","WH-N","Customer Address","2025-07-12","Delayed"
"SHP-124","CAR-03","WH-A","Customer Address","2024-08-22","Processing"
"SHP-125","CAR-02","WH-A","Customer Address","2026-02-25","Processing"
"SHP-126","CAR-04","WH-E","Customer Address","2025-09-30","Delivered"
"SHP-127","CAR-03","WH-E","Customer Address","2023-11-10","In Transit"
"SHP-128","CAR-04","WH-E","Customer Address","2025-05-26","In Transit"
"SHP-129","CAR-01","WH-E","Customer Address","2026-04-23","In Transit"
"SHP-130","CAR-04","WH-A","Customer Address","2024-01-29","Processing"
"SHP-131","CAR-02","WH-A","Customer Address","2022-10-17","Delayed"
"SHP-132","CAR-02","WH-A","Customer Address","2023-04-08","In Transit"
"SHP-133","CAR-04","WH-N","Customer Address","2026-05-06","In Transit"
"SHP-134","CAR-03","WH-E","Customer Address","2026-01-02","Delayed"
"SHP-135","CAR-02","WH-A","Customer Address","2024-02-17","Delivered"
"SHP-136","CAR-03","WH-E","Customer Address","2024-08-06","Processing"
"SHP-137","CAR-01","WH-N","Customer Address","2025-09-23","In Transit"
"SHP-138","CAR-04","WH-N","Customer Address","2026-03-28","In Transit"
"SHP-139","CAR-04","WH-A","Customer Address","2022-08-29","Delivered"
"SHP-140","CAR-03","WH-E","Customer Address","2022-11-09","Processing"
"SHP-141","CAR-03","WH-N","Customer Address","2024-02-05","Processing"
"SHP-142","CAR-03","WH-N","Customer Address","2024-08-11","In Transit"
"SHP-143","CAR-01","WH-N","Customer Address","2022-06-09","Delivered"
"SHP-144","CAR-04","WH-A","Customer Address","2025-03-03","Delayed"
"SHP-145","CAR-03","WH-E","Customer Address","2023-10-12","Delivered"
"SHP-146","CAR-04","WH-N","Customer Address","2025-05-19","Delivered"
"SHP-147","CAR-02","WH-N","Customer Address","2026-02-10","Delivered"
"SHP-148","CAR-01","WH-A","Customer Address","2023-12-06","Delayed"
"SHP-149","CAR-01","WH-A","Customer Address","2026-04-16","In Transit"
"SHP-150","CAR-01","WH-A","Customer Address","2022-07-20","Processing"
"SHP-151","CAR-01","WH-A","Customer Address","2026-03-21","Delivered"
"SHP-152","CAR-04","WH-N","Customer Address","2025-11-25","Delivered"
"SHP-153","CAR-03","WH-A","Customer Address","2022-11-26","Processing"
"SHP-154","CAR-03","WH-A","Customer Address","2023-10-12","Delivered"
"SHP-155","CAR-04","WH-E","Customer Address","2024-02-05","Delayed"
"SHP-156","CAR-04","WH-A","Customer Address","2024-09-01","Delayed"
"SHP-157","CAR-01","WH-E","Customer Address","2024-10-26","Processing"
"SHP-158","CAR-02","WH-A","Customer Address","2022-07-09","In Transit"
"SHP-159","CAR-01","WH-A","Customer Address","2024-02-11","Processing"
"SHP-160","CAR-03","WH-A","Customer Address","2025-12-09","Delayed"
"SHP-161","CAR-04","WH-E","Customer Address","2023-06-25","Processing"
"SHP-162","CAR-04","WH-A","Customer Address","2025-02-21","Delayed"
"SHP-163","CAR-01","WH-N","Customer Address","2024-10-10","Delivered"
"SHP-164","CAR-02","WH-A","Customer Address","2026-02-15","Delivered"
"SHP-165","CAR-04","WH-N","Customer Address","2022-02-13","Delivered"
"SHP-166","CAR-02","WH-E","Customer Address","2024-07-13","Delivered"
"SHP-167","CAR-03","WH-A","Customer Address","2022-02-08","In Transit"
"SHP-168","CAR-01","WH-E","Customer Address","2024-11-17","Delivered"
"SHP-169","CAR-03","WH-E","Customer Address","2022-03-13","In Transit"
"SHP-170","CAR-03","WH-E","Customer Address","2025-10-01","Delayed"
"SHP-171","CAR-02","WH-A","Customer Address","2023-03-18","Delayed"
"SHP-172","CAR-02","WH-N","Customer Address","2022-08-06","Processing"
"SHP-173","CAR-03","WH-A","Customer Address","2025-12-02","Processing"
"SHP-174","CAR-01","WH-E","Customer Address","2025-09-16","Processing"
"SHP-175","CAR-02","WH-A","Customer Address","2023-12-03","Delayed"
"SHP-176","CAR-03","WH-E","Customer Address","2023-10-22","In Transit"
"SHP-177","CAR-02","WH-N","Customer Address","2024-05-09","Processing"
"SHP-178","CAR-04","WH-A","Customer Address","2023-03-02","Delayed"
"SHP-179","CAR-03","WH-E","Customer Address","2025-07-09","Processing"
"SHP-180","CAR-03","WH-E","Customer Address","2023-08-27","Processing"
"SHP-181","CAR-02","WH-N","Customer Address","2022-06-15","In Transit"
"SHP-182","CAR-02","WH-E","Customer Address","2025-02-15","Delivered"
"SHP-183","CAR-04","WH-E","Customer Address","2023-04-30","Delayed"
"SHP-184","CAR-02","WH-N","Customer Address","2022-12-10","In Transit"
"SHP-185","CAR-04","WH-A","Customer Address","2026-02-28","Delivered"
"SHP-186","CAR-02","WH-E","Customer Address","2022-09-25","Delivered"
"SHP-187","CAR-02","WH-N","Customer Address","2024-03-22","Delivered"
"SHP-188","CAR-01","WH-A","Customer Address","2023-04-23","In Transit"
"SHP-189","CAR-01","WH-E","Customer Address","2022-07-12","Delivered"
"SHP-190","CAR-02","WH-N","Customer Address","2022-09-01","Processing"
"SHP-191","CAR-04","WH-N","Customer Address","2023-06-09","Delivered"
"SHP-192","CAR-04","WH-A","Customer Address","2023-08-11","In Transit"
"SHP-193","CAR-01","WH-A","Customer Address","2022-05-15","In Transit"
"SHP-194","CAR-01","WH-E","Customer Address","2024-09-18","Delivered"
"SHP-195","CAR-02","WH-A","Customer Address","2024-11-25","Processing"
"SHP-196","CAR-04","WH-E","Customer Address","2023-01-06","Delayed"
"SHP-197","CAR-04","WH-N","Customer Address","2024-04-13","Processing"
"SHP-198","CAR-03","WH-E","Customer Address","2025-03-11","Processing"
"SHP-199","CAR-03","WH-N","Customer Address","2022-09-18","In Transit"
"SHP-200","CAR-01","WH-A","Customer Address","2025-05-10","In Transit"
"SHP-201","CAR-01","WH-E","Customer Address","2024-01-14","Delivered"
"SHP-202","CAR-04","WH-E","Customer Address","2022-04-29","In Transit"
"SHP-203","CAR-04","WH-A","Customer Address","2023-07-16","Processing"
"SHP-204","CAR-01","WH-E","Customer Address","2025-12-11","Delivered"
"SHP-205","CAR-04","WH-N","Customer Address","2022-12-29","Delayed"
"SHP-206","CAR-01","WH-E","Customer Address","2023-04-27","In Transit"
"SHP-207","CAR-01","WH-N","Customer Address","2024-05-28","In Transit"
"SHP-208","CAR-02","WH-N","Customer Address","2025-03-07","Processing"
"SHP-209","CAR-03","WH-A","Customer Address","2025-06-14","Processing"
"SHP-210","CAR-03","WH-N","Customer Address","2024-02-21","Delayed"
"SHP-211","CAR-01","WH-A","Customer Address","2023-09-25","Processing"
"SHP-212","CAR-01","WH-N","Customer Address","2024-03-26","Delayed"
"SHP-213","CAR-02","WH-A","Customer Address","2023-07-14","In Transit"
"SHP-214","CAR-04","WH-E","Customer Address","2022-05-27","Processing"
"SHP-215","CAR-04","WH-N","Customer Address","2025-04-11","Delayed"
"SHP-216","CAR-01","WH-N","Customer Address","2026-05-13","Delivered"
"SHP-217","CAR-03","WH-N","Customer Address","2024-11-14","Delivered"
"SHP-218","CAR-03","WH-E","Customer Address","2023-06-10","Delayed"
"SHP-219","CAR-04","WH-E","Customer Address","2022-08-07","Delayed"
"SHP-220","CAR-03","WH-E","Customer Address","2022-07-04","Delayed"
"SHP-221","CAR-02","WH-N","Customer Address","2022-05-14","Delayed"
"SHP-222","CAR-01","WH-A","Customer Address","2025-12-20","Processing"
"SHP-223","CAR-02","WH-E","Customer Address","2023-10-12","Processing"
"SHP-224","CAR-03","WH-E","Customer Address","2022-02-28","Delivered"
"SHP-225","CAR-02","WH-E","Customer Address","2025-10-18","Delayed"
"SHP-226","CAR-01","WH-E","Customer Address","2022-05-18","In Transit"
"SHP-227","CAR-02","WH-E","Customer Address","2024-10-14","Processing"
"SHP-228","CAR-03","WH-E","Customer Address","2024-05-23","Delivered"
"SHP-229","CAR-03","WH-A","Customer Address","2022-02-25","Delayed"
"SHP-230","CAR-04","WH-A","Customer Address","2022-07-08","In Transit"
"SHP-231","CAR-01","WH-E","Customer Address","2022-04-15","Delivered"
"SHP-232","CAR-04","WH-N","Customer Address","2023-04-25","Delivered"
"SHP-233","CAR-03","WH-A","Customer Address","2022-09-02","Delayed"
"SHP-234","CAR-03","WH-E","Customer Address","2022-08-17","In Transit"
"SHP-235","CAR-02","WH-N","Customer Address","2026-01-06","In Transit"
"SHP-236","CAR-01","WH-N","Customer Address","2023-10-22","Delivered"
"SHP-237","CAR-04","WH-E","Customer Address","2022-05-15","Delivered"
"SHP-238","CAR-01","WH-A","Customer Address","2022-09-04","Delayed"
"SHP-239","CAR-01","WH-N","Customer Address","2025-12-27","In Transit"
"SHP-240","CAR-04","WH-E","Customer Address","2024-12-08","Delayed"
"SHP-241","CAR-01","WH-A","Customer Address","2025-08-21","Processing"
"SHP-242","CAR-03","WH-A","Customer Address","2025-12-31","Delivered"
"SHP-243","CAR-04","WH-E","Customer Address","2026-03-13","Delivered"
"SHP-244","CAR-03","WH-E","Customer Address","2022-02-23","In Transit"
"SHP-245","CAR-02","WH-N","Customer Address","2025-11-03","Delivered"
"SHP-246","CAR-02","WH-N","Customer Address","2025-09-20","Delayed"
"SHP-247","CAR-01","WH-E","Customer Address","2025-01-23","Delayed"
"SHP-248","CAR-04","WH-E","Customer Address","2025-09-08","Delayed"
"SHP-249","CAR-01","WH-A","Customer Address","2024-04-21","Processing"
"SHP-250","CAR-03","WH-E","Customer Address","2023-06-12","Delivered"
"SHP-251","CAR-04","WH-E","Customer Address","2022-02-16","Delivered"
"SHP-252","CAR-02","WH-N","Customer Address","2025-02-15","In Transit"
"SHP-253","CAR-04","WH-A","Customer Address","2026-01-19","Delayed"
"SHP-254","CAR-04","WH-E","Customer Address","2022-11-13","Processing"
"SHP-255","CAR-02","WH-N","Customer Address","2025-01-21","Delayed"
"SHP-256","CAR-02","WH-E","Customer Address","2023-01-11","Processing"
"SHP-257","CAR-03","WH-N","Customer Address","2024-10-21","Processing"
"SHP-258","CAR-04","WH-A","Customer Address","2025-11-28","Processing"
"SHP-259","CAR-01","WH-N","Customer Address","2023-05-12","Delayed"
"SHP-260","CAR-03","WH-A","Customer Address","2022-05-28","In Transit"
"SHP-261","CAR-01","WH-A","Customer Address","2023-03-04","Processing"
"SHP-262","CAR-04","WH-N","Customer Address","2022-10-26","Delivered"
"SHP-263","CAR-01","WH-N","Customer Address","2025-08-02","Delivered"
"SHP-264","CAR-04","WH-A","Customer Address","2022-06-20","Delayed"
"SHP-265","CAR-01","WH-N","Customer Address","2023-01-25","Delivered"
"SHP-266","CAR-03","WH-N","Customer Address","2025-09-24","Delivered"
"SHP-267","CAR-04","WH-E","Customer Address","2023-04-10","Delivered"
"SHP-268","CAR-01","WH-A","Customer Address","2022-08-12","Delivered"
"SHP-269","CAR-03","WH-E","Customer Address","2023-07-27","Delayed"
"SHP-270","CAR-03","WH-A","Customer Address","2025-10-10","Delivered"
"SHP-271","CAR-03","WH-N","Customer Address","2022-11-02","Delivered"
"SHP-272","CAR-04","WH-N","Customer Address","2026-02-25","In Transit"
"SHP-273","CAR-01","WH-E","Customer Address","2023-01-18","Processing"
"SHP-274","CAR-04","WH-E","Customer Address","2022-08-31","Delivered"
"SHP-275","CAR-02","WH-E","Customer Address","2026-05-25","Delivered"
"SHP-276","CAR-03","WH-N","Customer Address","2024-01-04","Delivered"
"SHP-277","CAR-03","WH-E","Customer Address","2025-05-04","Delivered"
"SHP-278","CAR-01","WH-N","Customer Address","2023-06-11","In Transit"
"SHP-279","CAR-01","WH-E","Customer Address","2023-02-13","Delivered"
"SHP-280","CAR-01","WH-A","Customer Address","2026-01-21","Processing"
"SHP-281","CAR-01","WH-E","Customer Address","2022-04-11","In Transit"
"SHP-282","CAR-01","WH-N","Customer Address","2025-03-03","In Transit"
"SHP-283","CAR-02","WH-A","Customer Address","2024-10-22","In Transit"
"SHP-284","CAR-04","WH-N","Customer Address","2024-05-09","Delivered"
"SHP-285","CAR-02","WH-A","Customer Address","2022-01-11","In Transit"
"SHP-286","CAR-04","WH-E","Customer Address","2025-12-03","Delayed"
"SHP-287","CAR-03","WH-N","Customer Address","2022-07-13","Delivered"
"SHP-288","CAR-04","WH-N","Customer Address","2025-07-14","Delayed"
"SHP-289","CAR-03","WH-N","Customer Address","2024-01-21","Delayed"
"SHP-290","CAR-03","WH-A","Customer Address","2024-04-12","In Transit"
"SHP-291","CAR-03","WH-N","Customer Address","2023-03-13","In Transit"
"SHP-292","CAR-02","WH-N","Customer Address","2024-04-24","Processing"
"SHP-293","CAR-03","WH-A","Customer Address","2023-06-06","In Transit"
"SHP-294","CAR-04","WH-N","Customer Address","2025-05-22","Delivered"
"SHP-295","CAR-01","WH-A","Customer Address","2023-02-12","Delayed"
"SHP-296","CAR-01","WH-A","Customer Address","2025-01-04","Processing"
"SHP-297","CAR-04","WH-A","Customer Address","2022-08-11","Delayed"
"SHP-298","CAR-04","WH-E","Customer Address","2022-05-17","In Transit"
"SHP-299","CAR-02","WH-E","Customer Address","2023-09-11","Processing"
"SHP-300","CAR-02","WH-A","Customer Address","2023-08-21","Processing"
"SHP-301","CAR-04","WH-N","Customer Address","2023-04-17","Delayed"
"SHP-302","CAR-03","WH-E","Customer Address","2022-03-22","In Transit"
"SHP-303","CAR-04","WH-E","Customer Address","2024-06-01","Delivered"
"SHP-304","CAR-03","WH-N","Customer Address","2025-05-25","Delayed"
"SHP-305","CAR-01","WH-E","Customer Address","2022-06-21","Processing"
"SHP-306","CAR-01","WH-E","Customer Address","2022-07-24","Delayed"
"SHP-307","CAR-03","WH-A","Customer Address","2024-01-07","Processing"
"SHP-308","CAR-02","WH-N","Customer Address","2023-02-18","In Transit"
"SHP-309","CAR-04","WH-E","Customer Address","2026-04-17","Processing"
"SHP-310","CAR-01","WH-A","Customer Address","2025-11-05","Delivered"
"SHP-311","CAR-02","WH-E","Customer Address","2025-03-13","Delivered"
"SHP-312","CAR-03","WH-A","Customer Address","2022-09-09","In Transit"
"SHP-313","CAR-04","WH-A","Customer Address","2023-01-22","In Transit"
"SHP-314","CAR-02","WH-N","Customer Address","2025-08-24","Delayed"
"SHP-315","CAR-03","WH-E","Customer Address","2022-12-03","Delayed"
"SHP-316","CAR-01","WH-A","Customer Address","2023-06-03","Delivered"
"SHP-317","CAR-04","WH-N","Customer Address","2022-06-21","Delivered"
"SHP-318","CAR-01","WH-N","Customer Address","2025-08-05","Delivered"
"SHP-319","CAR-01","WH-N","Customer Address","2022-01-26","Processing"
"SHP-320","CAR-04","WH-N","Customer Address","2024-11-09","In Transit"
"SHP-321","CAR-03","WH-E","Customer Address","2023-03-12","Delayed"
"SHP-322","CAR-03","WH-E","Customer Address","2026-05-12","Delayed"
"SHP-323","CAR-04","WH-E","Customer Address","2024-07-02","Delayed"
"SHP-324","CAR-01","WH-E","Customer Address","2026-03-29","Processing"
"SHP-325","CAR-01","WH-E","Customer Address","2023-05-05","Delayed"
"SHP-326","CAR-01","WH-A","Customer Address","2025-06-10","Processing"
"SHP-327","CAR-02","WH-A","Customer Address","2024-07-05","Delayed"
"SHP-328","CAR-04","WH-E","Customer Address","2025-04-06","Processing"
"SHP-329","CAR-02","WH-A","Customer Address","2024-11-06","Processing"
"SHP-330","CAR-01","WH-E","Customer Address","2025-05-10","Delayed"
"SHP-331","CAR-01","WH-N","Customer Address","2025-07-03","Delivered"
"SHP-332","CAR-02","WH-E","Customer Address","2022-10-26","Delivered"
"SHP-333","CAR-02","WH-E","Customer Address","2023-06-18","Delivered"
"SHP-334","CAR-03","WH-E","Customer Address","2023-02-22","Delivered"
"SHP-335","CAR-01","WH-E","Customer Address","2025-09-02","In Transit"
"SHP-336","CAR-01","WH-N","Customer Address","2024-04-11","Processing"
"SHP-337","CAR-02","WH-E","Customer Address","2024-05-28","Processing"
"SHP-338","CAR-02","WH-A","Customer Address","2022-08-25","In Transit"
"SHP-339","CAR-04","WH-N","Customer Address","2024-05-13","Processing"
"SHP-340","CAR-03","WH-A","Customer Address","2022-11-11","In Transit"
"SHP-341","CAR-03","WH-N","Customer Address","2023-03-04","Processing"
"SHP-342","CAR-03","WH-E","Customer Address","2025-07-18","Delayed"
"SHP-343","CAR-01","WH-A","Customer Address","2025-04-23","Delayed"
"SHP-344","CAR-03","WH-A","Customer Address","2026-03-06","Processing"
"SHP-345","CAR-01","WH-A","Customer Address","2023-01-17","Delivered"
"SHP-346","CAR-02","WH-N","Customer Address","2022-07-19","In Transit"
"SHP-347","CAR-03","WH-N","Customer Address","2025-11-14","Processing"
"SHP-348","CAR-02","WH-E","Customer Address","2024-10-20","Processing"
"SHP-349","CAR-02","WH-E","Customer Address","2022-11-12","Delayed"
"SHP-350","CAR-03","WH-N","Customer Address","2025-01-12","Delivered"
"SHP-351","CAR-02","WH-N","Customer Address","2023-12-04","Delayed"
"SHP-352","CAR-01","WH-N","Customer Address","2025-03-13","Delivered"
"SHP-353","CAR-01","WH-A","Customer Address","2022-09-13","In Transit"
"SHP-354","CAR-04","WH-N","Customer Address","2024-10-10","Delayed"
"SHP-355","CAR-03","WH-A","Customer Address","2023-06-06","Delivered"
"SHP-356","CAR-04","WH-N","Customer Address","2026-05-17","Processing"
"SHP-357","CAR-02","WH-N","Customer Address","2023-02-10","Delivered"
"SHP-358","CAR-03","WH-E","Customer Address","2025-11-23","Delivered"
"SHP-359","CAR-04","WH-A","Customer Address","2026-04-16","In Transit"
"SHP-360","CAR-02","WH-E","Customer Address","2022-09-12","Delivered"
"SHP-361","CAR-01","WH-E","Customer Address","2022-06-11","In Transit"
"SHP-362","CAR-02","WH-N","Customer Address","2025-07-04","Delayed"
"SHP-363","CAR-04","WH-A","Customer Address","2025-07-30","Processing"
"SHP-364","CAR-02","WH-N","Customer Address","2026-05-12","Delayed"
"SHP-365","CAR-01","WH-A","Customer Address","2022-03-18","Delayed"
"SHP-366","CAR-01","WH-E","Customer Address","2024-07-29","Delivered"
"SHP-367","CAR-03","WH-E","Customer Address","2022-03-13","In Transit"
"SHP-368","CAR-01","WH-E","Customer Address","2024-07-29","Delivered"
"SHP-369","CAR-03","WH-N","Customer Address","2023-05-05","Processing"
"SHP-370","CAR-02","WH-A","Customer Address","2025-03-28","In Transit"
"SHP-371","CAR-04","WH-A","Customer Address","2025-12-06","Delivered"
"SHP-372","CAR-02","WH-N","Customer Address","2023-10-16","Processing"
"SHP-373","CAR-01","WH-E","Customer Address","2025-05-31","Processing"
"SHP-374","CAR-03","WH-A","Customer Address","2022-01-30","Delivered"
"SHP-375","CAR-01","WH-N","Customer Address","2026-05-19","Processing"
"SHP-376","CAR-01","WH-A","Customer Address","2025-10-16","Processing"
"SHP-377","CAR-03","WH-E","Customer Address","2025-01-13","In Transit"
"SHP-378","CAR-02","WH-E","Customer Address","2025-03-19","Processing"
