PO_ID,SupplierID,OrderDate,ExpectedDeliveryDate,Status,TotalCost
"PO-8173","SUP01","2023-06-11","2023-07-11","Delivered","41856.25"
"PO-8174","SUP04","2022-10-30","2022-11-27","Delivered","33925.00"
"PO-8175","SUP04","2025-08-14","2025-09-04","Cancelled","65722.10"
"PO-8176","SUP01","2025-11-10","2025-11-30","Shipped","26055.50"
"PO-8177","SUP03","2024-04-23","2024-05-25","Shipped","36204.00"
"PO-8178","SUP01","2025-02-28","2025-03-18","Cancelled","8846.25"
"PO-8179","SUP04","2025-10-05","2025-10-19","Shipped","30290.75"
"PO-8180","SUP02","2024-06-22","2024-07-06","Cancelled","23429.25"
"PO-8181","SUP01","2025-09-08","2025-10-02","Delivered","8318.10"
"PO-8182","SUP01","2025-09-22","2025-11-01","Cancelled","5161.50"
"PO-8183","SUP01","2026-05-18","2026-06-24","Shipped","17508.00"
"PO-8184","SUP04","2025-06-14","2025-07-26","Delivered","14883.00"
"PO-8185","SUP03","2023-08-20","2023-10-02","Shipped","10421.25"
"PO-8186","SUP03","2026-01-04","2026-02-14","Shipped","32681.15"
"PO-8187","SUP02","2024-12-29","2025-02-12","Delivered","42680.40"
"PO-8188","SUP04","2025-12-13","2025-12-27","Delivered","9415.00"
"PO-8189","SUP04","2023-04-04","2023-05-18","Delivered","40723.65"
"PO-8190","SUP02","2025-07-09","2025-08-10","Cancelled","17751.05"
"PO-8191","SUP04","2024-05-11","2024-06-04","Shipped","40200.25"
"PO-8192","SUP01","2023-09-16","2023-09-30","Delivered","37833.60"
"PO-8193","SUP02","2025-06-17","2025-07-30","Cancelled","16275.00"
"PO-8194","SUP02","2022-04-17","2022-05-28","Shipped","4160.90"
"PO-8195","SUP01","2022-07-10","2022-08-06","Ordered","3238.50"
"PO-8196","SUP03","2025-02-23","2025-04-08","Ordered","13879.80"
"PO-8197","SUP03","2023-11-27","2023-12-19","Shipped","43641.00"
"PO-8198","SUP02","2026-03-08","2026-03-27","Cancelled","6563.70"
"PO-8199","SUP01","2026-01-15","2026-02-10","Cancelled","7427.80"
"PO-8200","SUP02","2024-07-05","2024-08-12","Delivered","3284.40"
"PO-8201","SUP02","2026-04-15","2026-05-05","Shipped","2738.70"
"PO-8202","SUP03","2023-08-17","2023-09-28","Ordered","6370.00"
"PO-8203","SUP02","2024-02-02","2024-03-10","Shipped","15347.50"
"PO-8204","SUP04","2025-11-14","2025-12-06","Shipped","21250.30"
"PO-8205","SUP03","2024-12-25","2025-01-22","Cancelled","20337.40"
"PO-8206","SUP03","2022-04-28","2022-06-09","Cancelled","43015.00"
"PO-8207","SUP03","2024-06-02","2024-07-09","Shipped","3725.80"
"PO-8208","SUP03","2024-05-17","2024-06-27","Delivered","18745.80"
"PO-8209","SUP01","2022-11-13","2022-12-12","Cancelled","11787.50"
"PO-8210","SUP01","2026-01-16","2026-03-02","Shipped","11173.75"
"PO-8211","SUP03","2023-10-14","2023-11-08","Delivered","4197.30"
"PO-8212","SUP04","2025-12-15","2026-01-19","Shipped","57029.75"
"PO-8213","SUP01","2026-03-07","2026-04-16","Ordered","12718.15"
"PO-8214","SUP03","2022-02-27","2022-04-13","Cancelled","34049.50"
"PO-8215","SUP02","2023-06-24","2023-07-17","Shipped","16565.40"
"PO-8216","SUP01","2024-03-19","2024-04-10","Ordered","478.50"
"PO-8217","SUP03","2025-04-02","2025-04-20","Shipped","28659.00"
"PO-8218","SUP01","2025-02-27","2025-04-02","Cancelled","30176.00"
"PO-8219","SUP02","2023-07-08","2023-08-04","Shipped","31652.00"
"PO-8220","SUP01","2026-05-14","2026-05-29","Cancelled","13965.00"
"PO-8221","SUP02","2022-10-25","2022-11-08","Ordered","65758.70"
"PO-8222","SUP02","2025-06-10","2025-07-05","Delivered","86237.25"
"PO-8223","SUP03","2026-03-12","2026-04-07","Ordered","35246.00"
"PO-8224","SUP01","2026-04-30","2026-06-06","Shipped","40202.15"
"PO-8225","SUP02","2023-12-05","2024-01-10","Shipped","56723.50"
"PO-8226","SUP04","2026-03-30","2026-04-23","Shipped","14022.00"
"PO-8227","SUP02","2025-07-29","2025-08-22","Delivered","22611.50"
"PO-8228","SUP03","2025-04-21","2025-06-01","Shipped","16975.00"
"PO-8229","SUP03","2024-01-29","2024-02-15","Shipped","88495.25"
"PO-8230","SUP04","2026-05-18","2026-06-08","Shipped","24873.00"
"PO-8231","SUP03","2024-06-07","2024-06-26","Cancelled","65696.85"
"PO-8232","SUP02","2024-05-16","2024-06-01","Delivered","41019.20"
"PO-8233","SUP03","2026-03-04","2026-04-09","Shipped","9702.00"
"PO-8234","SUP03","2022-11-22","2023-01-02","Delivered","70386.25"
"PO-8235","SUP02","2022-04-04","2022-05-14","Delivered","65536.25"
"PO-8236","SUP03","2024-08-31","2024-09-15","Ordered","25645.50"
"PO-8237","SUP01","2025-06-19","2025-07-30","Cancelled","41142.55"
"PO-8238","SUP04","2023-04-11","2023-05-25","Cancelled","9570.00"
"PO-8239","SUP01","2022-02-13","2022-03-28","Shipped","101882.00"
"PO-8240","SUP03","2023-03-21","2023-04-28","Ordered","7420.50"
"PO-8241","SUP01","2025-09-26","2025-10-28","Shipped","52781.80"
"PO-8242","SUP03","2024-05-27","2024-07-11","Shipped","19926.55"
"PO-8243","SUP03","2024-10-18","2024-11-19","Ordered","27541.35"
"PO-8244","SUP02","2026-03-23","2026-04-10","Ordered","84495.75"
"PO-8245","SUP03","2024-10-09","2024-11-09","Ordered","27880.00"
"PO-8246","SUP04","2023-02-17","2023-04-02","Shipped","35055.00"
"PO-8247","SUP01","2024-03-06","2024-03-20","Shipped","70602.00"
