SalesOrderID,OrderDate,ProductID,ProductName,Quantity,CustomerID
"SO-9030","2023-03-17","P201","Mystic White Chocolate","106","CUST-1086"
"SO-9031","2025-09-04","P101","Magical Dark Chocolate","164","CUST-1486"
"SO-9032","2025-05-13","P103","Golden Cocoa Truffles","67","CUST-1150"
"SO-9033","2023-04-12","P102","Enchanted Milk Chocolate","190","CUST-1225"
"SO-9034","2024-05-28","P102","Enchanted Milk Chocolate","178","CUST-1419"
"SO-9035","2022-07-11","P103","Golden Cocoa Truffles","130","CUST-1275"
"SO-9036","2024-05-28","P101","Magical Dark Chocolate","28","CUST-1061"
"SO-9037","2023-07-09","P101","Magical Dark Chocolate","181","CUST-1287"
"SO-9038","2023-05-29","P201","Mystic White Chocolate","125","CUST-1453"
"SO-9039","2023-01-14","P201","Mystic White Chocolate","86","CUST-1138"
"SO-9040","2022-09-25","P201","Mystic White Chocolate","13","CUST-1360"
"SO-9041","2025-03-06","P103","Golden Cocoa Truffles","172","CUST-1117"
"SO-9042","2022-03-12","P201","Mystic White Chocolate","195","CUST-1144"
"SO-9043","2024-07-01","P201","Mystic White Chocolate","59","CUST-1343"
"SO-9044","2025-09-25","P201","Mystic White Chocolate","180","CUST-1236"
"SO-9045","2022-02-28","P101","Magical Dark Chocolate","56","CUST-1248"
"SO-9046","2025-03-29","P103","Golden Cocoa Truffles","98","CUST-1459"
"SO-9047","2022-11-19","P103","Golden Cocoa Truffles","174","CUST-1132"
"SO-9048","2024-09-01","P103","Golden Cocoa Truffles","143","CUST-1085"
"SO-9049","2022-01-16","P201","Mystic White Chocolate","120","CUST-1470"
"SO-9050","2025-12-24","P102","Enchanted Milk Chocolate","125","CUST-1080"
"SO-9051","2025-06-04","P101","Magical Dark Chocolate","68","CUST-1110"
"SO-9052","2025-11-08","P102","Enchanted Milk Chocolate","147","CUST-1121"
"SO-9053","2024-01-07","P201","Mystic White Chocolate","136","CUST-1079"
"SO-9054","2024-07-13","P201","Mystic White Chocolate","95","CUST-1256"
"SO-9055","2025-01-02","P201","Mystic White Chocolate","127","CUST-1208"
"SO-9056","2024-10-03","P103","Golden Cocoa Truffles","140","CUST-1321"
"SO-9057","2025-03-05","P201","Mystic White Chocolate","74","CUST-1019"
"SO-9058","2023-09-05","P201","Mystic White Chocolate","94","CUST-1299"
"SO-9059","2022-06-13","P101","Magical Dark Chocolate","160","CUST-1252"
"SO-9060","2024-03-31","P102","Enchanted Milk Chocolate","38","CUST-1341"
"SO-9061","2023-09-28","P103","Golden Cocoa Truffles","102","CUST-1372"
"SO-9062","2022-03-31","P101","Magical Dark Chocolate","181","CUST-1086"
"SO-9063","2022-06-12","P102","Enchanted Milk Chocolate","95","CUST-1137"
"SO-9064","2024-02-11","P103","Golden Cocoa Truffles","95","CUST-1162"
"SO-9065","2023-08-28","P201","Mystic White Chocolate","143","CUST-1379"
"SO-9066","2024-05-18","P101","Magical Dark Chocolate","191","CUST-1237"
"SO-9067","2023-04-23","P101","Magical Dark Chocolate","184","CUST-1152"
"SO-9068","2023-06-12","P102","Enchanted Milk Chocolate","171","CUST-1256"
"SO-9069","2025-04-07","P201","Mystic White Chocolate","189","CUST-1063"
"SO-9070","2022-07-06","P103","Golden Cocoa Truffles","122","CUST-1488"
"SO-9071","2022-10-28","P102","Enchanted Milk Chocolate","151","CUST-1263"
"SO-9072","2022-05-24","P102","Enchanted Milk Chocolate","111","CUST-1303"
"SO-9073","2023-02-07","P201","Mystic White Chocolate","115","CUST-1017"
"SO-9074","2023-03-29","P101","Magical Dark Chocolate","110","CUST-1043"
"SO-9075","2022-05-24","P201","Mystic White Chocolate","150","CUST-1012"
"SO-9076","2024-05-19","P101","Magical Dark Chocolate","70","CUST-1023"
"SO-9077","2022-01-09","P102","Enchanted Milk Chocolate","81","CUST-1307"
"SO-9078","2025-11-16","P103","Golden Cocoa Truffles","128","CUST-1364"
"SO-9079","2023-10-09","P201","Mystic White Chocolate","170","CUST-1444"
"SO-9080","2023-12-29","P101","Magical Dark Chocolate","78","CUST-1006"
"SO-9081","2023-05-18","P102","Enchanted Milk Chocolate","179","CUST-1197"
"SO-9082","2022-12-27","P103","Golden Cocoa Truffles","28","CUST-1038"
"SO-9083","2022-11-17","P101","Magical Dark Chocolate","94","CUST-1183"
"SO-9084","2025-01-21","P101","Magical Dark Chocolate","163","CUST-1353"
"SO-9085","2022-08-16","P102","Enchanted Milk Chocolate","130","CUST-1024"
"SO-9086","2025-09-18","P103","Golden Cocoa Truffles","98","CUST-1181"
"SO-9087","2024-12-07","P102","Enchanted Milk Chocolate","45","CUST-1032"
"SO-9088","2022-12-27","P201","Mystic White Chocolate","189","CUST-1213"
"SO-9089","2022-02-20","P201","Mystic White Chocolate","102","CUST-1048"
"SO-9090","2023-03-05","P101","Magical Dark Chocolate","159","CUST-1101"
"SO-9091","2022-11-15","P102","Enchanted Milk Chocolate","77","CUST-1472"
"SO-9092","2025-10-26","P103","Golden Cocoa Truffles","43","CUST-1143"
"SO-9093","2024-05-22","P201","Mystic White Chocolate","135","CUST-1465"
"SO-9094","2025-09-20","P102","Enchanted Milk Chocolate","43","CUST-1117"
"SO-9095","2023-12-16","P103","Golden Cocoa Truffles","105","CUST-1172"
"SO-9096","2025-11-13","P201","Mystic White Chocolate","37","CUST-1313"
"SO-9097","2024-03-23","P201","Mystic White Chocolate","85","CUST-1036"
"SO-9098","2025-10-10","P102","Enchanted Milk Chocolate","120","CUST-1349"
"SO-9099","2025-08-21","P103","Golden Cocoa Truffles","89","CUST-1201"
"SO-9100","2025-09-24","P102","Enchanted Milk Chocolate","76","CUST-1252"
"SO-9101","2024-02-26","P101","Magical Dark Chocolate","91","CUST-1004"
"SO-9102","2023-06-11","P201","Mystic White Chocolate","24","CUST-1485"
"SO-9103","2026-01-23","P102","Enchanted Milk Chocolate","24","CUST-1334"
"SO-9104","2023-03-15","P101","Magical Dark Chocolate","11","CUST-1061"
"SO-9105","2022-08-08","P101","Magical Dark Chocolate","138","CUST-1297"
"SO-9106","2022-06-21","P102","Enchanted Milk Chocolate","109","CUST-1092"
"SO-9107","2024-05-30","P102","Enchanted Milk Chocolate","87","CUST-1277"
"SO-9108","2024-09-07","P102","Enchanted Milk Chocolate","127","CUST-1021"
"SO-9109","2022-05-26","P103","Golden Cocoa Truffles","107","CUST-1208"
"SO-9110","2023-09-18","P101","Magical Dark Chocolate","125","CUST-1458"
"SO-9111","2023-09-21","P101","Magical Dark Chocolate","174","CUST-1362"
"SO-9112","2024-06-13","P101","Magical Dark Chocolate","62","CUST-1177"
"SO-9113","2023-05-31","P102","Enchanted Milk Chocolate","92","CUST-1293"
"SO-9114","2024-03-07","P201","Mystic White Chocolate","163","CUST-1203"
"SO-9115","2022-07-15","P201","Mystic White Chocolate","119","CUST-1009"
"SO-9116","2024-09-07","P201","Mystic White Chocolate","28","CUST-1115"
"SO-9117","2024-09-21","P201","Mystic White Chocolate","183","CUST-1015"
"SO-9118","2025-05-26","P201","Mystic White Chocolate","48","CUST-1458"
"SO-9119","2024-08-19","P101","Magical Dark Chocolate","107","CUST-1276"
"SO-9120","2024-09-08","P201","Mystic White Chocolate","92","CUST-1292"
"SO-9121","2022-12-03","P103","Golden Cocoa Truffles","94","CUST-1029"
"SO-9122","2022-09-16","P102","Enchanted Milk Chocolate","128","CUST-1292"
"SO-9123","2025-07-11","P103","Golden Cocoa Truffles","123","CUST-1355"
"SO-9124","2024-08-21","P103","Golden Cocoa Truffles","174","CUST-1431"
"SO-9125","2026-02-23","P102","Enchanted Milk Chocolate","57","CUST-1074"
"SO-9126","2025-09-29","P101","Magical Dark Chocolate","160","CUST-1059"
"SO-9127","2023-11-09","P102","Enchanted Milk Chocolate","27","CUST-1178"
"SO-9128","2025-05-24","P201","Mystic White Chocolate","21","CUST-1069"
"SO-9129","2026-04-22","P101","Magical Dark Chocolate","92","CUST-1297"
"SO-9130","2024-01-28","P102","Enchanted Milk Chocolate","54","CUST-1405"
"SO-9131","2022-10-16","P102","Enchanted Milk Chocolate","77","CUST-1165"
"SO-9132","2023-04-06","P101","Magical Dark Chocolate","55","CUST-1391"
"SO-9133","2026-05-04","P103","Golden Cocoa Truffles","166","CUST-1078"
"SO-9134","2026-01-01","P201","Mystic White Chocolate","148","CUST-1218"
"SO-9135","2024-02-16","P102","Enchanted Milk Chocolate","76","CUST-1085"
"SO-9136","2024-08-04","P201","Mystic White Chocolate","145","CUST-1196"
"SO-9137","2025-09-22","P101","Magical Dark Chocolate","167","CUST-1138"
"SO-9138","2026-03-27","P103","Golden Cocoa Truffles","146","CUST-1458"
"SO-9139","2022-08-28","P201","Mystic White Chocolate","98","CUST-1043"
"SO-9140","2022-11-08","P103","Golden Cocoa Truffles","23","CUST-1369"
"SO-9141","2024-02-03","P101","Magical Dark Chocolate","90","CUST-1351"
"SO-9142","2024-08-09","P101","Magical Dark Chocolate","25","CUST-1107"
"SO-9143","2022-06-07","P101","Magical Dark Chocolate","158","CUST-1318"
"SO-9144","2025-03-02","P201","Mystic White Chocolate","164","CUST-1394"
"SO-9145","2023-10-11","P201","Mystic White Chocolate","86","CUST-1314"
"SO-9146","2025-05-17","P102","Enchanted Milk Chocolate","145","CUST-1053"
"SO-9147","2026-02-09","P101","Magical Dark Chocolate","167","CUST-1209"
"SO-9148","2023-12-05","P201","Mystic White Chocolate","38","CUST-1158"
"SO-9149","2026-04-14","P101","Magical Dark Chocolate","108","CUST-1053"
"SO-9150","2022-07-18","P201","Mystic White Chocolate","196","CUST-1321"
"SO-9151","2026-03-20","P201","Mystic White Chocolate","30","CUST-1397"
"SO-9152","2025-11-24","P101","Magical Dark Chocolate","145","CUST-1314"
"SO-9153","2022-11-25","P103","Golden Cocoa Truffles","27","CUST-1063"
"SO-9154","2023-10-11","P201","Mystic White Chocolate","111","CUST-1226"
"SO-9155","2024-02-04","P101","Magical Dark Chocolate","164","CUST-1120"
"SO-9156","2024-08-30","P103","Golden Cocoa Truffles","48","CUST-1045"
"SO-9157","2024-10-25","P102","Enchanted Milk Chocolate","143","CUST-1352"
"SO-9158","2022-07-08","P101","Magical Dark Chocolate","90","CUST-1171"
"SO-9159","2024-02-09","P103","Golden Cocoa Truffles","124","CUST-1060"
"SO-9160","2025-12-08","P102","Enchanted Milk Chocolate","117","CUST-1149"
"SO-9161","2023-06-23","P103","Golden Cocoa Truffles","147","CUST-1454"
"SO-9162","2025-02-20","P102","Enchanted Milk Chocolate","26","CUST-1055"
"SO-9163","2024-10-09","P101","Magical Dark Chocolate","183","CUST-1106"
"SO-9164","2026-02-14","P102","Enchanted Milk Chocolate","110","CUST-1106"
"SO-9165","2022-02-11","P102","Enchanted Milk Chocolate","167","CUST-1210"
"SO-9166","2024-07-12","P101","Magical Dark Chocolate","108","CUST-1315"
"SO-9167","2022-02-06","P101","Magical Dark Chocolate","36","CUST-1194"
"SO-9168","2024-11-15","P101","Magical Dark Chocolate","185","CUST-1406"
"SO-9169","2022-03-11","P201","Mystic White Chocolate","45","CUST-1426"
"SO-9170","2025-09-30","P103","Golden Cocoa Truffles","179","CUST-1031"
"SO-9171","2023-03-17","P101","Magical Dark Chocolate","118","CUST-1057"
"SO-9172","2022-08-05","P101","Magical Dark Chocolate","168","CUST-1042"
"SO-9173","2025-11-30","P201","Mystic White Chocolate","135","CUST-1262"
"SO-9174","2025-09-15","P101","Magical Dark Chocolate","59","CUST-1420"
"SO-9175","2023-12-01","P103","Golden Cocoa Truffles","93","CUST-1012"
"SO-9176","2023-10-20","P101","Magical Dark Chocolate","166","CUST-1063"
"SO-9177","2024-05-07","P103","Golden Cocoa Truffles","95","CUST-1214"
"SO-9178","2023-02-28","P103","Golden Cocoa Truffles","73","CUST-1189"
"SO-9179","2025-07-08","P103","Golden Cocoa Truffles","81","CUST-1239"
"SO-9180","2023-08-25","P201","Mystic White Chocolate","99","CUST-1009"
"SO-9181","2022-06-13","P102","Enchanted Milk Chocolate","67","CUST-1495"
"SO-9182","2025-02-14","P101","Magical Dark Chocolate","123","CUST-1420"
"SO-9183","2023-04-29","P102","Enchanted Milk Chocolate","185","CUST-1233"
"SO-9184","2022-12-09","P102","Enchanted Milk Chocolate","65","CUST-1138"
"SO-9185","2026-02-26","P201","Mystic White Chocolate","124","CUST-1398"
"SO-9186","2022-09-24","P201","Mystic White Chocolate","79","CUST-1067"
"SO-9187","2024-03-21","P201","Mystic White Chocolate","163","CUST-1386"
"SO-9188","2023-04-22","P102","Enchanted Milk Chocolate","54","CUST-1146"
"SO-9189","2022-07-11","P102","Enchanted Milk Chocolate","13","CUST-1131"
"SO-9190","2022-08-30","P201","Mystic White Chocolate","198","CUST-1132"
"SO-9191","2023-06-07","P201","Mystic White Chocolate","61","CUST-1045"
"SO-9192","2023-08-10","P102","Enchanted Milk Chocolate","196","CUST-1435"
"SO-9193","2022-05-13","P201","Mystic White Chocolate","19","CUST-1358"
"SO-9194","2024-09-16","P102","Enchanted Milk Chocolate","177","CUST-1176"
"SO-9195","2024-11-24","P103","Golden Cocoa Truffles","13","CUST-1497"
"SO-9196","2023-01-05","P101","Magical Dark Chocolate","107","CUST-1131"
"SO-9197","2024-04-11","P102","Enchanted Milk Chocolate","104","CUST-1067"
"SO-9198","2025-03-09","P103","Golden Cocoa Truffles","198","CUST-1172"
"SO-9199","2022-09-16","P102","Enchanted Milk Chocolate","11","CUST-1037"
"SO-9200","2025-05-08","P102","Enchanted Milk Chocolate","161","CUST-1321"
"SO-9201","2024-01-13","P201","Mystic White Chocolate","186","CUST-1458"
"SO-9202","2022-04-27","P201","Mystic White Chocolate","91","CUST-1073"
"SO-9203","2023-07-15","P101","Magical Dark Chocolate","84","CUST-1496"
"SO-9204","2025-12-09","P103","Golden Cocoa Truffles","152","CUST-1049"
"SO-9205","2022-12-28","P103","Golden Cocoa Truffles","104","CUST-1268"
"SO-9206","2023-04-26","P103","Golden Cocoa Truffles","175","CUST-1289"
"SO-9207","2024-05-26","P101","Magical Dark Chocolate","173","CUST-1223"
"SO-9208","2025-03-06","P103","Golden Cocoa Truffles","188","CUST-1157"
"SO-9209","2025-06-13","P102","Enchanted Milk Chocolate","79","CUST-1480"
"SO-9210","2024-02-19","P101","Magical Dark Chocolate","117","CUST-1261"
"SO-9211","2023-09-24","P101","Magical Dark Chocolate","97","CUST-1110"
"SO-9212","2024-03-24","P103","Golden Cocoa Truffles","112","CUST-1223"
"SO-9213","2023-07-13","P103","Golden Cocoa Truffles","96","CUST-1282"
"SO-9214","2022-05-25","P102","Enchanted Milk Chocolate","106","CUST-1237"
"SO-9215","2025-04-09","P102","Enchanted Milk Chocolate","11","CUST-1172"
"SO-9216","2026-05-11","P101","Magical Dark Chocolate","135","CUST-1037"
"SO-9217","2024-11-13","P101","Magical Dark Chocolate","81","CUST-1425"
"SO-9218","2023-06-08","P103","Golden Cocoa Truffles","35","CUST-1143"
"SO-9219","2022-08-05","P103","Golden Cocoa Truffles","61","CUST-1150"
"SO-9220","2022-07-02","P201","Mystic White Chocolate","39","CUST-1148"
"SO-9221","2022-05-13","P103","Golden Cocoa Truffles","87","CUST-1403"
"SO-9222","2025-12-18","P103","Golden Cocoa Truffles","141","CUST-1353"
"SO-9223","2023-10-10","P103","Golden Cocoa Truffles","117","CUST-1462"
"SO-9224","2022-02-26","P103","Golden Cocoa Truffles","92","CUST-1389"
"SO-9225","2025-10-17","P103","Golden Cocoa Truffles","63","CUST-1369"
"SO-9226","2022-05-17","P102","Enchanted Milk Chocolate","110","CUST-1293"
"SO-9227","2024-10-12","P102","Enchanted Milk Chocolate","39","CUST-1061"
"SO-9228","2024-05-22","P102","Enchanted Milk Chocolate","74","CUST-1037"
"SO-9229","2022-02-23","P103","Golden Cocoa Truffles","57","CUST-1500"
"SO-9230","2022-07-06","P103","Golden Cocoa Truffles","60","CUST-1278"
"SO-9231","2022-04-13","P103","Golden Cocoa Truffles","147","CUST-1435"
"SO-9232","2023-04-24","P201","Mystic White Chocolate","14","CUST-1204"
"SO-9233","2022-08-31","P101","Magical Dark Chocolate","133","CUST-1064"
"SO-9234","2022-08-16","P101","Magical Dark Chocolate","172","CUST-1412"
"SO-9235","2026-01-04","P201","Mystic White Chocolate","122","CUST-1146"
"SO-9236","2023-10-21","P103","Golden Cocoa Truffles","35","CUST-1402"
"SO-9237","2022-05-14","P201","Mystic White Chocolate","44","CUST-1061"
"SO-9238","2022-09-02","P102","Enchanted Milk Chocolate","43","CUST-1098"
"SO-9239","2025-12-25","P103","Golden Cocoa Truffles","173","CUST-1165"
"SO-9240","2024-12-06","P201","Mystic White Chocolate","87","CUST-1016"
"SO-9241","2025-08-20","P103","Golden Cocoa Truffles","48","CUST-1367"
"SO-9242","2025-12-30","P103","Golden Cocoa Truffles","119","CUST-1076"
"SO-9243","2026-03-12","P101","Magical Dark Chocolate","100","CUST-1388"
"SO-9244","2022-02-21","P103","Golden Cocoa Truffles","129","CUST-1465"
"SO-9245","2025-11-01","P201","Mystic White Chocolate","109","CUST-1491"
"SO-9246","2025-09-19","P201","Mystic White Chocolate","178","CUST-1262"
"SO-9247","2025-01-21","P102","Enchanted Milk Chocolate","108","CUST-1477"
"SO-9248","2025-09-07","P101","Magical Dark Chocolate","124","CUST-1292"
"SO-9249","2024-04-20","P103","Golden Cocoa Truffles","168","CUST-1357"
"SO-9250","2023-06-10","P102","Enchanted Milk Chocolate","100","CUST-1414"
"SO-9251","2022-02-15","P201","Mystic White Chocolate","193","CUST-1444"
"SO-9252","2025-02-13","P103","Golden Cocoa Truffles","177","CUST-1360"
"SO-9253","2026-01-17","P101","Magical Dark Chocolate","160","CUST-1070"
"SO-9254","2022-11-12","P201","Mystic White Chocolate","165","CUST-1273"
"SO-9255","2025-01-19","P101","Magical Dark Chocolate","91","CUST-1189"
"SO-9256","2023-01-09","P102","Enchanted Milk Chocolate","183","CUST-1406"
"SO-9257","2024-10-19","P201","Mystic White Chocolate","159","CUST-1273"
"SO-9258","2025-11-26","P101","Magical Dark Chocolate","14","CUST-1158"
"SO-9259","2023-05-11","P102","Enchanted Milk Chocolate","70","CUST-1491"
"SO-9260","2022-05-27","P102","Enchanted Milk Chocolate","190","CUST-1073"
"SO-9261","2023-03-03","P102","Enchanted Milk Chocolate","105","CUST-1192"
"SO-9262","2022-10-24","P103","Golden Cocoa Truffles","171","CUST-1057"
"SO-9263","2025-08-01","P201","Mystic White Chocolate","66","CUST-1126"
"SO-9264","2022-06-19","P103","Golden Cocoa Truffles","11","CUST-1109"
"SO-9265","2023-01-23","P103","Golden Cocoa Truffles","50","CUST-1258"
"SO-9266","2025-09-23","P103","Golden Cocoa Truffles","101","CUST-1321"
"SO-9267","2023-04-09","P201","Mystic White Chocolate","80","CUST-1156"
"SO-9268","2022-08-11","P201","Mystic White Chocolate","20","CUST-1141"
"SO-9269","2023-07-25","P102","Enchanted Milk Chocolate","22","CUST-1286"
"SO-9270","2025-10-09","P201","Mystic White Chocolate","78","CUST-1075"
"SO-9271","2022-11-01","P103","Golden Cocoa Truffles","136","CUST-1297"
"SO-9272","2026-02-24","P201","Mystic White Chocolate","169","CUST-1223"
"SO-9273","2023-01-17","P102","Enchanted Milk Chocolate","51","CUST-1359"
"SO-9274","2022-08-30","P101","Magical Dark Chocolate","69","CUST-1451"
"SO-9275","2026-05-23","P102","Enchanted Milk Chocolate","64","CUST-1420"
"SO-9276","2024-01-02","P103","Golden Cocoa Truffles","180","CUST-1173"
"SO-9277","2025-05-02","P201","Mystic White Chocolate","136","CUST-1408"
"SO-9278","2023-06-09","P102","Enchanted Milk Chocolate","155","CUST-1174"
"SO-9279","2023-02-12","P103","Golden Cocoa Truffles","135","CUST-1275"
"SO-9280","2026-01-19","P201","Mystic White Chocolate","194","CUST-1329"
"SO-9281","2022-04-10","P103","Golden Cocoa Truffles","110","CUST-1252"
"SO-9282","2025-03-01","P101","Magical Dark Chocolate","115","CUST-1102"
"SO-9283","2024-10-21","P103","Golden Cocoa Truffles","132","CUST-1028"
"SO-9284","2024-05-08","P101","Magical Dark Chocolate","64","CUST-1047"
"SO-9285","2022-01-10","P201","Mystic White Chocolate","169","CUST-1153"
"SO-9286","2025-12-01","P101","Magical Dark Chocolate","95","CUST-1120"
"SO-9287","2022-07-12","P101","Magical Dark Chocolate","183","CUST-1044"
"SO-9288","2025-07-13","P101","Magical Dark Chocolate","111","CUST-1402"
"SO-9289","2024-01-20","P201","Mystic White Chocolate","18","CUST-1363"
"SO-9290","2024-04-10","P201","Mystic White Chocolate","159","CUST-1197"
"SO-9291","2023-03-11","P101","Magical Dark Chocolate","160","CUST-1148"
"SO-9292","2024-04-22","P201","Mystic White Chocolate","194","CUST-1113"
"SO-9293","2023-06-04","P101","Magical Dark Chocolate","117","CUST-1334"
"SO-9294","2025-05-21","P201","Mystic White Chocolate","154","CUST-1013"
"SO-9295","2023-02-10","P101","Magical Dark Chocolate","124","CUST-1275"
"SO-9296","2025-01-02","P102","Enchanted Milk Chocolate","123","CUST-1466"
"SO-9297","2022-08-10","P102","Enchanted Milk Chocolate","114","CUST-1388"
"SO-9298","2022-05-16","P201","Mystic White Chocolate","45","CUST-1279"
"SO-9299","2023-09-09","P101","Magical Dark Chocolate","95","CUST-1319"
"SO-9300","2023-08-19","P103","Golden Cocoa Truffles","156","CUST-1463"
"SO-9301","2023-04-15","P103","Golden Cocoa Truffles","196","CUST-1160"
"SO-9302","2022-03-21","P103","Golden Cocoa Truffles","89","CUST-1160"
"SO-9303","2024-05-31","P101","Magical Dark Chocolate","118","CUST-1331"
"SO-9304","2025-05-23","P201","Mystic White Chocolate","92","CUST-1358"
"SO-9305","2022-06-19","P101","Magical Dark Chocolate","191","CUST-1010"
"SO-9306","2022-07-23","P201","Mystic White Chocolate","75","CUST-1093"
"SO-9307","2024-01-05","P201","Mystic White Chocolate","27","CUST-1046"
"SO-9308","2023-02-17","P103","Golden Cocoa Truffles","33","CUST-1372"
"SO-9309","2026-04-15","P101","Magical Dark Chocolate","74","CUST-1351"
"SO-9310","2025-11-03","P103","Golden Cocoa Truffles","178","CUST-1085"
"SO-9311","2025-03-11","P201","Mystic White Chocolate","125","CUST-1131"
"SO-9312","2022-09-07","P101","Magical Dark Chocolate","165","CUST-1327"
"SO-9313","2023-01-21","P201","Mystic White Chocolate","84","CUST-1388"
"SO-9314","2025-08-22","P102","Enchanted Milk Chocolate","195","CUST-1342"
"SO-9315","2022-12-01","P201","Mystic White Chocolate","52","CUST-1073"
"SO-9316","2023-06-02","P201","Mystic White Chocolate","66","CUST-1167"
"SO-9317","2022-06-19","P201","Mystic White Chocolate","140","CUST-1180"
"SO-9318","2025-08-03","P103","Golden Cocoa Truffles","160","CUST-1272"
"SO-9319","2022-01-25","P201","Mystic White Chocolate","60","CUST-1094"
"SO-9320","2024-11-07","P201","Mystic White Chocolate","194","CUST-1070"
"SO-9321","2023-03-11","P101","Magical Dark Chocolate","60","CUST-1094"
"SO-9322","2026-05-11","P201","Mystic White Chocolate","135","CUST-1024"
"SO-9323","2024-06-30","P201","Mystic White Chocolate","103","CUST-1367"
"SO-9324","2026-03-27","P103","Golden Cocoa Truffles","36","CUST-1320"
"SO-9325","2023-05-03","P103","Golden Cocoa Truffles","148","CUST-1462"
"SO-9326","2025-06-08","P201","Mystic White Chocolate","93","CUST-1070"
"SO-9327","2024-07-03","P201","Mystic White Chocolate","196","CUST-1322"
"SO-9328","2025-04-04","P201","Mystic White Chocolate","46","CUST-1096"
"SO-9329","2024-11-05","P201","Mystic White Chocolate","33","CUST-1091"
"SO-9330","2025-05-08","P102","Enchanted Milk Chocolate","67","CUST-1216"
"SO-9331","2025-07-02","P103","Golden Cocoa Truffles","158","CUST-1021"
"SO-9332","2022-10-25","P103","Golden Cocoa Truffles","74","CUST-1061"
"SO-9333","2023-06-17","P102","Enchanted Milk Chocolate","103","CUST-1276"
"SO-9334","2023-02-21","P201","Mystic White Chocolate","164","CUST-1109"
"SO-9335","2025-09-01","P101","Magical Dark Chocolate","92","CUST-1124"
"SO-9336","2024-04-10","P201","Mystic White Chocolate","90","CUST-1438"
"SO-9337","2024-05-27","P102","Enchanted Milk Chocolate","110","CUST-1293"
"SO-9338","2022-08-24","P101","Magical Dark Chocolate","23","CUST-1050"
"SO-9339","2024-05-11","P101","Magical Dark Chocolate","77","CUST-1021"
"SO-9340","2022-11-09","P103","Golden Cocoa Truffles","95","CUST-1225"
"SO-9341","2023-03-03","P103","Golden Cocoa Truffles","154","CUST-1393"
"SO-9342","2025-07-16","P201","Mystic White Chocolate","127","CUST-1219"
"SO-9343","2025-04-21","P101","Magical Dark Chocolate","161","CUST-1268"
"SO-9344","2026-03-04","P101","Magical Dark Chocolate","92","CUST-1410"
"SO-9345","2023-01-15","P103","Golden Cocoa Truffles","178","CUST-1276"
"SO-9346","2022-07-18","P101","Magical Dark Chocolate","92","CUST-1385"
"SO-9347","2025-11-13","P102","Enchanted Milk Chocolate","126","CUST-1179"
"SO-9348","2024-10-19","P103","Golden Cocoa Truffles","150","CUST-1157"
"SO-9349","2022-11-11","P103","Golden Cocoa Truffles","82","CUST-1373"
"SO-9350","2025-01-11","P201","Mystic White Chocolate","49","CUST-1441"
"SO-9351","2023-12-02","P201","Mystic White Chocolate","62","CUST-1295"
"SO-9352","2025-03-12","P102","Enchanted Milk Chocolate","171","CUST-1462"
"SO-9353","2022-09-11","P103","Golden Cocoa Truffles","80","CUST-1076"
